reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-M32/79-7900031/2024,25,L,ADITA,,,YS-M32/81-7900031/2025,ADITA,35051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7900087/2024,25,L,ADITA,,,YS-M32/81-7900087/2025,ADITA,35051,,,,,,,81,A,,M32,cic
YS-M32/79-7900034/2024,25,L,ADITA,,,YS-M32/81-7900034/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7700276/2024,35,L,ADITA,,,YS-M32/81-7700276/2025,ADITA,45051,,,,,,,81,A,,M32,cic
YS-M32/79-7900003/2024,25,L,ADITA,,,YS-M32/81-7900003/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7700047/2024,35,L,ADITA,,,YS-M32/81-7700047/2025,ADITA,45051,,,,,,,81,A,,M32,cic
YS-M32/79-7900084/2024,23,L,ADFAS,,,YS-M32/81-7900084/2025,ADFAS,33051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7900082/2024,23,L,ADFAS,,,YS-M32/81-7900082/2025,ADFAS,33051,,,,,,,81,A,,M32,RAKHI DAS
YS-M32/79-7700308/2024,33,L,ADFAS,,,YS-M32/81-7700308/2025,ADFAS,43051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7700248/2024,35,L,ADITA,,,YS-M32/81-7700248/2025,ADITA,45051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7700260/2024,35,L,ADITA,,,YS-M32/81-7700260/2025,ADITA,45051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7900027/2024,25,L,ADITA,,,YS-M32/81-7900027/2025,ADITA,35051,,,,,,,81,A,,M32,saheli
YS-M32/79-7700011/2024,33,L,ADFAS,,,YS-M32/81-7700011/2025,ADFAS,43051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7700292/2024,35,L,ADITA,,,YS-M32/81-7700292/2025,ADITA,45051,,,,,,,81,A,,M32,RAKHI DAS
YS-M32/79-7900085/2024,22,L,ADDTP,,,YS-M32/81-7900085/2025,ADDTP,32051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7700080/2024,35,L,ADITA,,,YS-M32/81-7700080/2025,ADITA,45051,,,,,,,81,A,,M32,saheli
YS-M32/79-7900061/2024,25,L,ADITA,,,YS-M32/81-7900061/2025,ADITA,35052,,,,,,,81,A,,M32,cic
YS-M32/79-7700161/2024,35,L,ADITA,,,YS-M32/81-7700161/2025,ADITA,45051,,,,,,,81,A,,M32,cic
YS-M32/79-7700280/2024,35,L,ADITA,,,YS-M32/81-7700280/2025,ADITA,45052,,,,,,,81,A,,M32,cic
YS-M32/79-7900071/2024,25,L,ADITA,,,YS-M32/81-7900071/2025,ADITA,35051,,,,,,,81,A,,M32,toyeba
YS-M32/79-7900016/2024,25,L,ADITA,,,YS-M32/81-7900016/2025,ADITA,35052,,,,,,,81,A,,M32,saheli
YS-M32/79-7700142/2024,33,L,ADFAS,,,YS-M32/81-7700142/2025,ADFAS,43051,,,,,,,81,A,,M32,toyeba
