reg_no,admission,admn_recpt,inst_1_due,inst_1_dt,i_1_recpt,inst_2_due,inst_2_dt,i_2_recpt,inst_3_due,inst_3_dt,i_3_recpt,inst_4_due,inst_4_dt,i_4_recpt,inst_5_due,inst_5_dt,i_5_recpt,inst_6_due,inst_6_dt,i_6_recpt,inst_7_due,inst_7_dt,i_7_recpt,inst_8_due,inst_8_dt,i_8_recpt,session,ses_half,Centre_Id,sem_payabl,sem_paypart,USER
YS-N24/29-2700002/2011,10/05/2011,0.0,10/06/2011,,0.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700025/2011,10/05/2011,0.0,10/06/2011,,0.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700014/2011,10/05/2011,109.0,10/06/2011,25/06/2011,573.0,11/07/2011,26/07/2011,1104.0,10/08/2011,18/08/2011,1527.0,10/09/2011,15/09/2011,1989.0,15/10/2011,22/10/2011,2446.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700036/2011,10/05/2011,0.0,10/06/2011,,0.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900018/2011,11/05/2011,110.0,11/07/2011,06/07/2011,697.0,10/08/2011,13/08/2011,1462.0,10/09/2011,06/09/2011,1661.0,15/10/2011,13/10/2011,2190.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900019/2011,11/05/2011,111.0,11/07/2011,11/07/2011,908.0,10/08/2011,12/08/2011,1405.0,10/09/2011,09/09/2011,1767.0,15/10/2011,12/10/2011,2131.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2700115/2011,11/05/2011,112.0,10/06/2011,04/06/2011,289.0,11/07/2011,09/07/2011,827.0,10/08/2011,04/08/2011,1152.0,10/09/2011,20/09/2011,2026.0,15/10/2011,20/10/2011,2407.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700129/2011,11/05/2011,113.0,10/06/2011,14/06/2011,468.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2500185/2011,11/05/2011,114.0,10/06/2011,08/06/2011,368.0,11/07/2011,09/07/2011,851.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900020/2011,11/05/2011,115.0,11/07/2011,08/07/2011,780.0,10/08/2011,10/08/2011,1336.0,10/09/2011,09/09/2011,1785.0,15/10/2011,04/11/2011,2480.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900021/2011,11/05/2011,116.0,11/07/2011,05/07/2011,681.0,10/08/2011,20/08/2011,1544.0,10/09/2011,10/09/2011,1874.0,15/10/2011,15/10/2011,2320.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900022/2011,11/05/2011,117.0,11/07/2011,09/07/2011,878.0,10/08/2011,09/08/2011,1284.0,10/09/2011,15/09/2011,1987.0,15/10/2011,20/10/2011,2418.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2300482/2011,11/05/2011,118.0,10/06/2011,11/05/2011,119.0,11/07/2011,18/07/2011,1064.0,10/08/2011,24/08/2011,1558.0,10/09/2011,12/09/2011,1916.0,15/10/2011,17/10/2011,2346.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700070/2011,11/05/2011,120.0,10/06/2011,06/06/2011,337.0,11/07/2011,26/08/2011,1566.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700028/2011,11/05/2011,121.0,10/06/2011,,0.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900023/2011,11/05/2011,122.0,11/07/2011,23/07/2011,1097.0,10/08/2011,06/08/2011,1235.0,10/09/2011,10/09/2011,1890.0,15/10/2011,22/10/2011,2445.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900024/2011,11/05/2011,123.0,11/07/2011,09/07/2011,886.0,10/08/2011,06/08/2011,1224.0,10/09/2011,17/09/2011,2016.0,15/10/2011,15/10/2011,2335.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900025/2011,11/05/2011,124.0,11/07/2011,09/07/2011,885.0,10/08/2011,10/08/2011,1346.0,10/09/2011,17/09/2011,2015.0,15/10/2011,15/10/2011,2336.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2700010/2011,11/05/2011,125.0,10/06/2011,09/06/2011,397.0,11/07/2011,09/07/2011,871.0,10/08/2011,13/09/2011,1950.0,10/09/2011,20/10/2011,2417.0,15/10/2011,20/10/2011,2417.0,,,0.0,,,0.0,,,0.0,29,A,N24,9400.0,1500.0,UNKNOWN
YS-N24/29-2700100/2011,11/05/2011,126.0,10/06/2011,02/07/2011,629.0,11/07/2011,02/07/2011,629.0,10/08/2011,02/08/2011,1129.0,10/09/2011,06/09/2011,1685.0,15/10/2011,13/10/2011,2213.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700136/2011,11/05/2011,127.0,10/06/2011,19/07/2011,1075.0,11/07/2011,19/07/2011,1075.0,10/08/2011,09/08/2011,1298.0,10/09/2011,21/10/2011,2428.0,15/10/2011,21/10/2011,2428.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900026/2011,12/05/2011,128.0,11/07/2011,07/07/2011,750.0,10/08/2011,06/08/2011,1218.0,10/09/2011,10/09/2011,1895.0,15/10/2011,15/10/2011,2321.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900027/2011,12/05/2011,129.0,11/07/2011,09/07/2011,876.0,10/08/2011,09/08/2011,1291.0,10/09/2011,13/09/2011,1958.0,15/10/2011,15/10/2011,2318.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900028/2011,12/05/2011,130.0,10/06/2011,12/05/2011,131.0,11/07/2011,04/07/2011,651.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900029/2011,12/05/2011,132.0,11/07/2011,09/07/2011,874.0,10/08/2011,09/08/2011,1293.0,10/09/2011,10/09/2011,1836.0,15/10/2011,13/10/2011,2214.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2700352/2011,12/05/2011,133.0,10/06/2011,16/06/2011,502.0,11/07/2011,12/07/2011,980.0,10/08/2011,11/08/2011,1389.0,10/09/2011,15/09/2011,1983.0,15/10/2011,20/10/2011,2414.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700106/2011,12/05/2011,134.0,10/06/2011,13/06/2011,454.0,11/07/2011,14/07/2011,1028.0,10/08/2011,13/08/2011,1471.0,10/09/2011,10/09/2011,1894.0,15/10/2011,13/10/2011,2226.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900030/2011,12/05/2011,135.0,11/07/2011,09/07/2011,877.0,10/08/2011,09/08/2011,1292.0,10/09/2011,10/09/2011,1858.0,15/10/2011,13/10/2011,2218.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2700091/2011,12/05/2011,136.0,10/06/2011,14/06/2011,469.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700293/2011,14/05/2011,137.0,10/06/2011,11/06/2011,431.0,11/07/2011,09/07/2011,831.0,10/08/2011,10/08/2011,1328.0,10/09/2011,08/09/2011,1733.0,15/10/2011,20/10/2011,2408.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700226/2011,14/05/2011,138.0,10/06/2011,11/06/2011,432.0,11/07/2011,05/07/2011,662.0,10/08/2011,13/09/2011,1936.0,10/09/2011,13/09/2011,1936.0,15/10/2011,13/10/2011,2179.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900031/2011,14/05/2011,139.0,11/07/2011,23/07/2011,1096.0,10/08/2011,13/08/2011,1473.0,10/09/2011,10/09/2011,1906.0,15/10/2011,01/10/2011,2118.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2700170/2011,14/05/2011,140.0,10/06/2011,16/06/2011,504.0,11/07/2011,11/07/2011,959.0,10/08/2011,09/08/2011,1313.0,10/09/2011,06/09/2011,1683.0,15/10/2011,18/10/2011,2400.0,,,0.0,,,0.0,,,0.0,29,A,N24,3200.0,500.0,UNKNOWN
YS-N24/29-2700112/2011,14/05/2011,141.0,10/06/2011,16/06/2011,505.0,11/07/2011,09/07/2011,882.0,10/08/2011,09/08/2011,1301.0,10/09/2011,10/09/2011,1841.0,15/10/2011,15/10/2011,2289.0,,,0.0,,,0.0,,,0.0,29,A,N24,3200.0,500.0,UNKNOWN
YS-N24/29-2700111/2011,14/05/2011,142.0,10/06/2011,05/07/2011,685.0,11/07/2011,12/07/2011,985.0,10/08/2011,12/07/2011,985.0,10/09/2011,12/07/2011,985.0,15/10/2011,14/11/2011,2496.0,,,0.0,,,0.0,,,0.0,29,A,N24,3200.0,500.0,UNKNOWN
YS-N24/29-2700186/2011,14/05/2011,143.0,10/06/2011,16/06/2011,506.0,11/07/2011,05/07/2011,686.0,10/08/2011,02/08/2011,1128.0,10/09/2011,13/09/2011,1953.0,15/10/2011,18/10/2011,2398.0,,,0.0,,,0.0,,,0.0,29,A,N24,3200.0,500.0,UNKNOWN
YS-N24/29-2900032/2011,14/05/2011,144.0,11/07/2011,09/07/2011,898.0,10/08/2011,27/08/2011,1572.0,10/09/2011,17/09/2011,2017.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900033/2011,14/05/2011,145.0,11/07/2011,05/07/2011,679.0,10/08/2011,04/08/2011,1162.0,10/09/2011,19/09/2011,2025.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2700169/2011,14/05/2011,146.0,10/06/2011,,0.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700209/2011,14/05/2011,147.0,10/06/2011,05/07/2011,678.0,11/07/2011,05/07/2011,678.0,10/08/2011,02/08/2011,1125.0,10/09/2011,16/09/2011,1994.0,15/10/2011,20/10/2011,2413.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900034/2011,16/05/2011,148.0,10/06/2011,16/05/2011,149.0,11/07/2011,25/07/2011,1100.0,10/08/2011,29/08/2011,1574.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900035/2011,16/05/2011,150.0,11/07/2011,15/07/2011,1040.0,10/08/2011,18/08/2011,1522.0,10/09/2011,20/09/2011,2034.0,15/10/2011,15/11/2011,2499.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900036/2011,16/05/2011,151.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900037/2011,16/05/2011,152.0,11/07/2011,09/07/2011,883.0,10/08/2011,20/08/2011,1546.0,10/09/2011,10/09/2011,1888.0,15/10/2011,22/10/2011,2443.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900038/2011,16/05/2011,153.0,11/07/2011,09/07/2011,891.0,10/08/2011,20/08/2011,1545.0,10/09/2011,10/09/2011,1885.0,15/10/2011,15/10/2011,2326.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900039/2011,16/05/2011,154.0,11/07/2011,06/08/2011,1222.0,10/08/2011,06/08/2011,1222.0,10/09/2011,03/09/2011,1607.0,15/10/2011,15/10/2011,2327.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900040/2011,16/05/2011,155.0,11/07/2011,08/07/2011,766.0,10/08/2011,10/08/2011,1321.0,10/09/2011,14/09/2011,1963.0,15/10/2011,09/12/2011,2506.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900041/2011,16/05/2011,156.0,11/07/2011,09/07/2011,880.0,10/08/2011,09/08/2011,1289.0,10/09/2011,15/09/2011,1986.0,15/10/2011,18/10/2011,2385.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2101234/2011,17/05/2011,157.0,10/06/2011,17/05/2011,158.0,11/07/2011,12/07/2011,975.0,10/08/2011,11/08/2011,1386.0,10/09/2011,10/09/2011,1857.0,15/10/2011,15/10/2011,2317.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900042/2011,17/05/2011,159.0,11/07/2011,16/07/2011,1060.0,10/08/2011,20/08/2011,1549.0,10/09/2011,10/09/2011,1899.0,15/10/2011,15/10/2011,2330.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900043/2011,17/05/2011,160.0,11/07/2011,11/07/2011,916.0,10/08/2011,10/08/2011,1330.0,10/09/2011,10/09/2011,1834.0,15/10/2011,25/10/2011,2455.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900044/2011,17/05/2011,161.0,11/07/2011,08/07/2011,771.0,10/08/2011,26/08/2011,1567.0,10/09/2011,26/09/2011,2053.0,15/10/2011,01/10/2011,2122.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900045/2011,17/05/2011,162.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900046/2011,17/05/2011,163.0,11/07/2011,10/08/2011,1357.0,10/08/2011,10/08/2011,1357.0,10/09/2011,07/09/2011,1708.0,15/10/2011,05/11/2011,2484.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2500143/2011,17/05/2011,164.0,10/06/2011,20/06/2011,521.0,11/07/2011,09/07/2011,844.0,10/08/2011,18/08/2011,1518.0,10/09/2011,13/09/2011,1949.0,15/10/2011,12/11/2011,2493.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900047/2011,17/05/2011,165.0,11/07/2011,10/08/2011,1338.0,10/08/2011,21/09/2011,2039.0,10/09/2011,21/09/2011,2039.0,15/10/2011,19/12/2011,2517.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900048/2011,17/05/2011,166.0,11/07/2011,27/07/2011,1107.0,10/08/2011,17/08/2011,1499.0,10/09/2011,14/09/2011,1964.0,15/10/2011,18/11/2011,2502.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900049/2011,17/05/2011,167.0,11/07/2011,14/07/2011,1012.0,10/08/2011,20/08/2011,1539.0,10/09/2011,20/09/2011,2033.0,15/10/2011,18/10/2011,2372.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2700040/2011,17/05/2011,168.0,10/06/2011,30/08/2011,1580.0,11/07/2011,01/09/2011,1583.0,10/08/2011,01/09/2011,1583.0,10/09/2011,17/12/2011,2515.0,15/10/2011,17/12/2011,2515.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700004/2011,17/05/2011,0.0,10/06/2011,,0.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900050/2011,18/05/2011,169.0,11/07/2011,11/07/2011,940.0,10/08/2011,12/08/2011,1420.0,10/09/2011,05/09/2011,1630.0,15/10/2011,14/10/2011,2262.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900051/2011,18/05/2011,170.0,11/07/2011,08/07/2011,785.0,10/08/2011,10/08/2011,1349.0,10/09/2011,09/09/2011,1787.0,15/10/2011,14/10/2011,2261.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900052/2011,18/05/2011,171.0,11/07/2011,15/07/2011,1037.0,10/08/2011,26/08/2011,1568.0,10/09/2011,28/09/2011,2055.0,15/10/2011,31/10/2011,2463.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900053/2011,18/05/2011,172.0,11/07/2011,15/07/2011,1036.0,10/08/2011,24/08/2011,1561.0,10/09/2011,09/09/2011,1791.0,15/10/2011,24/10/2011,2450.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900054/2011,18/05/2011,173.0,11/07/2011,08/07/2011,786.0,10/08/2011,10/08/2011,1348.0,10/09/2011,09/09/2011,1790.0,15/10/2011,12/10/2011,2145.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900055/2011,18/05/2011,174.0,11/07/2011,27/07/2011,1108.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900056/2011,18/05/2011,175.0,11/07/2011,08/07/2011,798.0,10/08/2011,19/08/2011,1530.0,10/09/2011,10/09/2011,1869.0,15/10/2011,14/10/2011,2271.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900057/2011,18/05/2011,176.0,11/07/2011,09/07/2011,842.0,10/08/2011,11/08/2011,1384.0,10/09/2011,20/09/2011,2027.0,15/10/2011,22/10/2011,2438.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2700021/2011,19/05/2011,177.0,10/06/2011,23/06/2011,547.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2500274/2011,19/05/2011,178.0,10/06/2011,28/06/2011,595.0,11/07/2011,09/07/2011,847.0,10/08/2011,06/09/2011,1659.0,10/09/2011,06/09/2011,1659.0,15/10/2011,04/11/2011,2481.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900058/2011,20/05/2011,179.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900059/2011,20/05/2011,180.0,11/07/2011,08/07/2011,779.0,10/08/2011,05/08/2011,1175.0,10/09/2011,12/09/2011,1915.0,15/10/2011,14/10/2011,2248.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900060/2011,20/05/2011,181.0,11/07/2011,17/08/2011,1503.0,10/08/2011,17/08/2011,1503.0,10/09/2011,12/09/2011,1923.0,15/10/2011,24/10/2011,2452.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900061/2011,20/05/2011,182.0,11/07/2011,13/07/2011,1005.0,10/08/2011,05/08/2011,1183.0,10/09/2011,24/09/2011,2049.0,15/10/2011,24/10/2011,2451.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2700072/2011,20/05/2011,183.0,10/06/2011,02/07/2011,628.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2700161/2011,20/05/2011,184.0,10/06/2011,14/06/2011,471.0,11/07/2011,14/07/2011,1022.0,10/08/2011,12/08/2011,1427.0,10/09/2011,17/09/2011,2012.0,15/10/2011,20/10/2011,2421.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2101159/2011,21/05/2011,185.0,10/06/2011,21/05/2011,186.0,11/07/2011,23/07/2011,1095.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900062/2011,21/05/2011,187.0,11/07/2011,11/07/2011,952.0,10/08/2011,17/08/2011,1508.0,10/09/2011,12/09/2011,1930.0,15/10/2011,12/10/2011,2149.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900063/2011,21/05/2011,188.0,11/07/2011,16/07/2011,1044.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900064/2011,21/05/2011,189.0,11/07/2011,04/07/2011,654.0,10/08/2011,05/08/2011,1180.0,10/09/2011,05/09/2011,1631.0,15/10/2011,14/10/2011,2263.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900065/2011,23/05/2011,190.0,11/07/2011,05/07/2011,663.0,10/08/2011,02/08/2011,1122.0,10/09/2011,06/09/2011,1652.0,15/10/2011,01/10/2011,2091.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900066/2011,23/05/2011,191.0,11/07/2011,09/07/2011,838.0,10/08/2011,04/08/2011,1154.0,10/09/2011,08/09/2011,1740.0,15/10/2011,13/10/2011,2187.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900067/2011,23/05/2011,192.0,11/07/2011,12/07/2011,967.0,10/08/2011,06/08/2011,1201.0,10/09/2011,13/09/2011,1942.0,15/10/2011,15/10/2011,2286.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900068/2011,23/05/2011,193.0,11/07/2011,09/07/2011,841.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900069/2011,23/05/2011,194.0,10/06/2011,23/05/2011,195.0,11/07/2011,16/07/2011,1059.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,3000.0,500.0,UNKNOWN
YS-N24/29-2900070/2011,23/05/2011,196.0,11/07/2011,23/05/2011,197.0,10/08/2011,05/09/2011,1628.0,10/09/2011,23/09/2011,2043.0,15/10/2011,21/10/2011,2429.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900071/2011,23/05/2011,198.0,11/07/2011,11/07/2011,941.0,10/08/2011,10/08/2011,1352.0,10/09/2011,14/09/2011,1971.0,15/10/2011,17/10/2011,2355.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900072/2011,23/05/2011,199.0,11/07/2011,06/07/2011,722.0,10/08/2011,17/08/2011,1509.0,10/09/2011,02/09/2011,1589.0,15/10/2011,12/10/2011,2160.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900073/2011,23/05/2011,200.0,11/07/2011,08/07/2011,806.0,10/08/2011,12/08/2011,1450.0,10/09/2011,09/09/2011,1808.0,15/10/2011,12/10/2011,2159.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900074/2011,23/05/2011,201.0,11/07/2011,09/07/2011,884.0,10/08/2011,27/08/2011,1573.0,10/09/2011,24/09/2011,2051.0,15/10/2011,22/10/2011,2442.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900075/2011,23/05/2011,202.0,11/07/2011,,0.0,10/08/2011,,0.0,10/09/2011,,0.0,15/10/2011,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2800.0,500.0,UNKNOWN
YS-N24/29-2900076/2011,23/05/2011,203.0,11/07/2011,07/07/2011,733.0,10/08/2011,06/08/2011,1198.0,10/09/2011,03/09/2011,1597.0,15/10/2011,15/10/2011,2287.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
YS-N24/29-2900077/2011,23/05/2011,204.0,11/07/2011,05/07/2011,667.0,10/08/2011,06/08/2011,1199.0,10/09/2011,06/09/2011,1654.0,15/10/2011,13/10/2011,2181.0,,,0.0,,,0.0,,,0.0,,,0.0,29,A,N24,2000.0,350.0,UNKNOWN
