reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/70-6800167/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800134/2022,35,,ADITA,,,YS-N24/72-6800134/2023,ADITA,45001,,,,,,,,A,Y,,deba
YS-N24/70-6800133/2022,35,,ADITA,,,YS-N24/72-6800133/2023,ADITA,45001,,,,,,,,A,Y,,deba
YS-N24/70-6800164/2022,35,,ADITA,,,YS-N24/72-6800164/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800131/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800186/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800097/2022,35,,ADITA,,,YS-N24/72-6800097/2023,ADITA,45001,,,,,,,,A,Y,,cic
YS-N24/70-6800156/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800157/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800145/2022,35,,ADITA,,,YS-N24/72-6800145/2023,ADITA,45001,,,,,,,,A,Y,,saheli
YS-N24/70-6800132/2022,35,,ADITA,,,YS-N24/72-6800132/2023,ADITA,45001,,,,,,,,A,Y,,deba
YS-N24/70-6800021/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800136/2022,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800043/2022,33,,ADFAS,,,YS-N24/72-6800043/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800046/2022,33,,ADFAS,,,YS-N24/72-6800046/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800141/2022,33,,ADFAS,,,YS-N24/72-6800141/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800033/2022,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800093/2022,33,,ADFAS,,,YS-N24/72-6800093/2023,ADFAS,43001,,,,,,,,A,Y,,deba
YS-N24/70-6800151/2022,33,,ADFAS,,,YS-N24/72-6800151/2023,ADFAS,43001,,,,,,,,A,Y,,deba
YS-N24/70-6800027/2022,33,,ADFAS,,,YS-N24/72-6800027/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800187/2022,33,,ADFAS,,,YS-N24/72-6800187/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800100/2022,35,,ADITA,,,YS-N24/72-6800100/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800103/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6400008/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800112/2022,35,,ADITA,,,YS-N24/72-6800112/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800030/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800124/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800128/2022,35,,ADITA,,,YS-N24/72-6800128/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800125/2022,35,,ADITA,,,YS-N24/72-6800125/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800142/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800108/2022,33,,ADFAS,,,YS-N24/72-6800108/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800109/2022,33,,ADFAS,,,YS-N24/72-6800109/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800144/2022,33,,ADFAS,,,YS-N24/72-6800144/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800039/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800056/2022,35,,ADITA,,,YS-N24/72-6800056/2023,ADITA,45001,,,,,,,,A,Y,,deba
YS-N24/70-6800076/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800036/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-4700563/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6800047/2022,32,,ADDTP,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800099/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800098/2022,35,,ADITA,,,YS-N24/72-6800098/2023,ADITA,45001,,,,,,,,A,Y,,saheli
YS-N24/70-6800148/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800089/2022,35,,ADITA,,,YS-N24/72-6800089/2023,ADITA,45001,,,,,,,,A,Y,,deba
YS-N24/70-6800016/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800042/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800011/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800017/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800150/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800130/2022,35,,ADITA,,,YS-N24/72-6800130/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800116/2022,35,,ADITA,,,YS-N24/72-6800116/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800117/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800067/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800068/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800111/2022,35,,ADITA,,,YS-N24/72-6800111/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800101/2022,33,,ADFAS,,,YS-N24/72-6800101/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800123/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800075/2022,33,,ADFAS,,,YS-N24/72-6800075/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800138/2022,35,,ADITA,,,YS-N24/72-6800138/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800031/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800147/2022,35,,ADITA,,,YS-N24/72-6800147/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800040/2022,35,,ADITA,,,YS-N24/72-6800040/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800034/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800183/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800054/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800178/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800012/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800008/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800004/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800143/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800107/2022,33,,ADFAS,,,YS-N24/72-6800107/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800180/2022,35,,ADITA,,,YS-N24/72-6800180/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800077/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800025/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-3100544/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6800127/2022,35,,ADITA,,,YS-N24/72-6800127/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800020/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800087/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800045/2022,33,,ADFAS,,,YS-N24/72-6800045/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800188/2022,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800041/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-5600288/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6800002/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6800149/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800094/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6300235/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6800091/2022,35,,ADITA,,,YS-N24/72-6800091/2023,ADITA,45002,,,,,,,,A,Y,,saheli
YS-N24/70-6800120/2022,35,,ADITA,,,YS-N24/72-6800120/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800102/2022,35,,ADITA,,,YS-N24/72-6800102/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6600043/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6800110/2022,33,,ADFAS,,,YS-N24/72-6800110/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800090/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800207/2022,33,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800406/2022,33,,ADFAS,,,YS-N24/72-6800406/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800010/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800009/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800060/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800072/2022,33,,ADFAS,,,YS-N24/72-6800072/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6600089/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600087/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600085/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600088/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600079/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6800146/2022,35,,ADITA,,,YS-N24/72-6800146/2023,ADITA,45001,,,,,,,,A,Y,,saheli
YS-N24/70-6800080/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6600080/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-7000001/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000002/2022,25,,ADITA,,,YS-N24/72-7000002/2023,ADITA,35002,,,,,,,,A,Y,,saheli
YS-N24/70-7000003/2022,25,,ADITA,,,YS-N24/72-7000003/2023,ADITA,35002,,,,,,,,A,Y,,saheli
YS-N24/70-7000004/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000005/2022,25,,ADITA,,,YS-N24/72-7000005/2023,ADITA,35001,,,,,,,,A,Y,,saheli
YS-N24/70-7000006/2022,25,,ADITA,,,YS-N24/72-7000006/2023,ADITA,35002,,,,,,,,A,Y,,saheli
YS-N24/70-7000007/2022,25,,ADITA,,,YS-N24/72-7000007/2023,ADITA,35002,,,,,,,,A,Y,,saheli
YS-N24/70-7000008/2022,25,,ADITA,,,YS-N24/72-7000008/2023,ADITA,35004,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000009/2022,25,,ADITA,,,YS-N24/72-7000009/2023,ADITA,35004,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000010/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000011/2022,25,,ADITA,,,YS-N24/72-7000011/2023,ADITA,35003,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000012/2022,25,,ADITA,,,YS-N24/72-7000012/2023,ADITA,35005,,,,,,,,A,Y,,PROMITA
YS-N24/70-5500588/2022,35,,ADITA,,,YS-N24/72-5500588/2023,ADITA,45001,,,,,,,,A,Y,,deba
YS-N24/70-7000013/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000014/2022,25,,ADITA,,,YS-N24/72-7000014/2023,ADITA,35001,,,,,,,,A,Y,,saheli
YS-N24/70-7000015/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000016/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800079/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000017/2022,25,,ADITA,,,YS-N24/72-7000017/2023,ADITA,35004,,,,,,,,A,Y,,cic
YS-N24/70-7000018/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000019/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6600022/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6800065/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000020/2022,25,,ADITA,,,YS-N24/72-7000020/2023,ADITA,35003,,,,,,,,A,Y,,saheli
YS-N24/70-7000021/2022,25,,ADITA,,,YS-N24/72-7000021/2023,ADITA,35003,,,,,,,,A,Y,,saheli
YS-N24/70-7000022/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800064/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000023/2022,25,,ADITA,,,YS-N24/72-7000023/2023,ADITA,35002,,,,,,,,A,Y,,saheli
YS-N24/70-7000024/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000025/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000026/2022,25,,ADITA,,,YS-N24/72-7000026/2023,ADITA,35005,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000027/2022,25,,ADITA,,,YS-N24/72-7000027/2023,ADITA,35003,,,,,,,,A,Y,,saheli
YS-N24/70-7000028/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000029/2022,25,,ADITA,,,YS-N24/72-7000029/2023,ADITA,35004,,,,,,,,A,Y,,deba
YS-N24/70-7000030/2022,23,,ADFAS,,,YS-N24/72-7000030/2023,ADFAS,33001,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000031/2022,23,,ADFAS,,,YS-N24/72-7000031/2023,ADFAS,33001,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000032/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800258/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800217/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000033/2022,23,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000034/2022,23,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800129/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000035/2022,25,,ADITA,,,YS-N24/72-7000035/2023,ADITA,35003,,,,,,,,A,Y,,deba
YS-N24/70-7000036/2022,25,,ADITA,,,YS-N24/72-7000036/2023,ADITA,35002,,,,,,,,A,Y,,saheli
YS-N24/70-7000037/2022,25,,ADITA,,,YS-N24/72-7000037/2023,ADITA,35002,,,,,,,,A,Y,,saheli
YS-N24/70-6800069/2022,35,,ADITA,,,YS-N24/72-6800069/2023,ADITA,45001,,,,,,,,A,Y,,deba
YS-N24/70-6800113/2022,35,,ADITA,,,YS-N24/72-6800113/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800220/2022,35,,ADITA,,,YS-N24/72-6800220/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000038/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000039/2022,25,,ADITA,,,YS-N24/72-7000039/2023,ADITA,35004,,,,,,,,A,Y,,deba
YS-N24/70-7000040/2022,25,,ADITA,,,YS-N24/72-7000040/2023,ADITA,35004,,,,,,,,A,Y,,deba
YS-N24/70-7000041/2022,25,,ADITA,,,YS-N24/72-7000041/2023,ADITA,35004,,,,,,,,A,Y,,deba
YS-N24/70-7000042/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000043/2022,25,,ADITA,,,YS-N24/72-7000043/2023,ADITA,35001,,,,,,,,A,Y,,cic
YS-N24/70-7000044/2022,25,,ADITA,,,YS-N24/72-7000044/2023,ADITA,35004,,,,,,,,A,Y,,saheli
YS-N24/70-7000045/2022,35,,ADITA,,,YS-N24/72-7000045/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000046/2022,25,,ADITA,,,YS-N24/72-7000046/2023,ADITA,35002,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000047/2022,25,,ADITA,,,YS-N24/72-7000047/2023,ADITA,35002,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000048/2022,25,,ADITA,,,YS-N24/72-7000048/2023,ADITA,35003,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000049/2022,25,,ADITA,,,YS-N24/72-7000049/2023,ADITA,35001,,,,,,,,A,Y,,cic
YS-N24/70-7000050/2022,23,,ADFAS,,,YS-N24/72-7000050/2023,ADFAS,33001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800140/2022,33,,ADFAS,,,YS-N24/72-6800140/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800061/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000051/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000052/2022,25,,ADITA,,,YS-N24/72-7000052/2023,ADITA,35004,,,,,,,,A,Y,,cic
YS-N24/70-7000053/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000054/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000055/2022,25,,ADITA,,,YS-N24/72-7000055/2023,ADITA,35004,,,,,,,,A,Y,,deba
YS-N24/70-7000056/2022,25,,ADITA,,,YS-N24/72-7000056/2023,ADITA,35004,,,,,,,,A,Y,,deba
YS-N24/70-7000057/2022,25,,ADITA,,,YS-N24/72-7000057/2023,ADITA,35004,,,,,,,,A,Y,,deba
YS-N24/70-7000058/2022,25,,ADITA,,,YS-N24/72-7000058/2023,ADITA,35005,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000059/2022,25,,ADITA,,,YS-N24/72-7000059/2023,ADITA,35005,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800035/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000060/2022,23,,ADFAS,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800005/2022,43,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-7000061/2022,25,,ADITA,,,YS-N24/72-7000061/2023,ADITA,35002,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000062/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000063/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000064/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000065/2022,25,,ADITA,,,YS-N24/72-7000065/2023,ADITA,35001,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000066/2022,25,,ADITA,,,YS-N24/72-7000066/2023,ADITA,35001,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000067/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000068/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000069/2022,25,,ADITA,,,YS-N24/72-7000069/2023,ADITA,35001,,,,,,,,A,Y,,deba
YS-N24/70-7000070/2022,25,,ADITA,,,YS-N24/72-7000070/2023,ADITA,35003,,,,,,,,A,Y,,saheli
YS-N24/70-7000071/2022,23,,ADFAS,,,YS-N24/72-7000071/2023,ADFAS,33001,,,,,,,,A,Y,,deba
YS-N24/70-7000072/2022,23,,ADFAS,,,YS-N24/72-7000072/2023,ADFAS,33001,,,,,,,,A,Y,,deba
YS-N24/70-6800204/2022,35,,ADITA,,,YS-N24/72-6800204/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000073/2022,25,,ADITA,,,YS-N24/72-7000073/2023,ADITA,35002,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000074/2022,25,,ADITA,,,YS-N24/72-7000074/2023,ADITA,35002,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000075/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000076/2022,25,,ADITA,,,YS-N24/72-7000076/2023,ADITA,35004,,,,,,,,A,Y,,cic
YS-N24/70-7000077/2022,25,,ADITA,,,YS-N24/72-7000077/2023,ADITA,35004,,,,,,,,A,Y,,cic
YS-N24/70-7000078/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000079/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000080/2022,25,,ADITA,,,YS-N24/72-7000080/2023,ADITA,35003,,,,,,,,A,Y,,saheli
YS-N24/70-7000081/2022,25,,ADITA,,,YS-N24/72-7000081/2023,ADITA,35003,,,,,,,,A,Y,,saheli
YS-N24/70-7000082/2022,25,,ADITA,,,YS-N24/72-7000082/2023,ADITA,35003,,,,,,,,A,Y,,saheli
YS-N24/70-6800085/2022,35,,ADITA,,,YS-N24/72-6800085/2023,ADITA,45001,,,,,,,,A,Y,,cic
YS-N24/70-6800070/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800071/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000083/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000084/2022,22,,ADDTP,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000085/2022,25,,ADITA,,,YS-N24/72-7000085/2023,ADITA,35004,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800229/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000086/2022,25,,ADITA,,,YS-N24/72-7000086/2023,ADITA,35002,,,,,,,,A,Y,,deba
YS-N24/70-7000087/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800199/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000088/2022,25,,ADITA,,,YS-N24/72-7000088/2023,ADITA,35005,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000089/2022,23,,ADFAS,,,YS-N24/72-7000089/2023,ADFAS,33001,,,,,,,,A,Y,,PROMITA
YS-N24/70-7000090/2022,23,,ADFAS,,,YS-N24/72-7000090/2023,ADFAS,33001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800354/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800353/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800355/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800280/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000091/2022,25,,ADITA,,,YS-N24/72-7000091/2023,ADITA,35003,,,,,,,,A,Y,,deba
YS-N24/70-6800326/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800356/2022,35,,ADITA,,,YS-N24/72-6800356/2023,ADITA,45001,,,,,,,,A,Y,,RAKHI DAS
YS-N24/70-7000092/2022,25,,ADITA,,,YS-N24/72-7000092/2023,ADITA,35001,,,,,,,,A,Y,,saheli
YS-N24/70-7000093/2022,25,,ADITA,,,YS-N24/72-7000093/2023,ADITA,35001,,,,,,,,A,Y,,saheli
YS-N24/70-7000094/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000095/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800159/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800158/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800173/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000096/2022,25,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-7000097/2022,25,,ADITA,,,YS-N24/72-7000097/2023,ADITA,35001,,,,,,,,A,Y,,saheli
