reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/70-6800082/2022,33,,ADFAS,,,YS-N24/72-6800082/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800126/2022,33,,ADFAS,,,YS-N24/72-6800126/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800083/2022,33,,ADFAS,,,YS-N24/72-6800083/2023,ADFAS,43001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800055/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800139/2022,32,,ADDTP,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800026/2022,32,,ADDTP,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800153/2022,32,,ADDTP,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800007/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800028/2022,35,,ADITA,,,YS-N24/72-6800028/2023,ADITA,45001,,,,,,,,A,Y,,saheli
YS-N24/70-6800081/2022,35,,ADITA,,,YS-N24/72-6800081/2023,ADITA,45001,,,,,,,,A,Y,,saheli
YS-N24/70-6800119/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600060/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600012/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600017/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600069/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600011/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6600015/2022,45,,,,,,,,,,,,,,,A,N,,cic
YS-N24/70-6800166/2022,35,,ADITA,,,YS-N24/72-6800166/2023,ADITA,45001,,,,,,,,A,Y,,PROMITA
YS-N24/70-6800022/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800037/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800018/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800019/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
YS-N24/70-6800003/2022,35,,ADITA,,,,,,,,,,,,,A,Y,,cic
