reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/45-4300118/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300117/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300006/2015,35,,ADITA,,,YS-N24/47-4300006/2016,ADITA,45052,,,,,,,,A,N,,saheli
YS-N24/45-4300005/2015,35,,ADITA,,,YS-N24/47-4300005/2016,ADITA,45052,,,,,,,,A,N,,saheli
YS-N24/45-4300129/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300116/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300145/2015,33,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300090/2015,33,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300019/2015,35,,CFAS(LAT),,,YS-N24/46-4600150/2015,CFAS(LAT),23001,,,,,,,,A,N,,saheli
YS-N24/45-4300054/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300058/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300081/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300154/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300042/2015,35,,CDTP(LAT),,,YS-N24/46-4600139/2015,CDTP(LAT),22001,,,,,,,,A,N,,saheli
YS-N24/45-4300082/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300083/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300174/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300077/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300175/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300091/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300026/2015,35,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300619/2015,33,,,,,,,,,,,,,,,A,N,,saheli
YS-N24/45-4300186/2015,33,,,,,,,,,,,,,,,A,N,,saheli
