reg_no,batchcode,lateral,course_ap1,course_ap2,course_ap3,n_reg_no_1,course_ad1,batch_no_1,n_reg_no_2,course_ad2,batch_no_2,n_reg_no_3,course_ad3,batch_no_3,Session,ses_half,already_dip,Centre,USER
YS-N24/30-1901339/2011,35,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2600011/2011,45,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2600012/2011,45,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2600031/2011,45,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2600033/2011,45,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2600037/2011,45,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2600078/2011,45,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2600137/2011,45,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800003/2011,35,,ADITA,,,YS-N24/32-2800003/2012,ADITA,45001,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800004/2011,37,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800010/2011,35,,,,,YS-N24/32-2800010/2012,,45001,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800011/2011,35,,ADITA,,,YS-N24/32-2800011/2012,ADITA,45001,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800012/2011,35,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800013/2011,35,,ADITA,,,YS-N24/32-2800013/2012,ADITA,45001,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800016/2011,35,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800019/2011,35,,ADITA,,,YS-N24/32-2800019/2012,ADITA,45001,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800024/2011,35,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800025/2011,35,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
YS-N24/30-2800027/2011,35,,,,,,,,,,,,,,30,A,N,N24,UNKNOWN
